;Date;Sample Description;Group #;Sample #;Analysis Name;Result
348;2016-10-03;Site 4 B;952593;610011017A;quercetin glycosides;61
349;2016-10-03;Site 4 B;952593;610011017A;total anthocyanins;891
350;2016-10-01;Site 4 A;952592;610011016;Comments;200 berries counted
351;2016-10-01;Site 4 A;952592;610011016;L-malic acid;2.4
352;2016-10-01;Site 4 A;952592;610011016;brix;25.7
353;2016-10-01;Site 4 A;952592;610011016;glucose + fructose;274
354;2016-10-01;Site 4 A;952592;610011016;berry weight;1.32
355;2016-10-01;Site 4 A;952592;610011016;pH;3.62
356;2016-10-01;Site 4 A;952592;610011016;sugar per berry;0.339
357;2016-10-01;Site 4 A;952592;610011016;titratable acidity;5.8
358;2016-10-01;Site 4 B;952592;610011017;Comments;200 berries counted
359;2016-10-01;Site 4 B;952592;610011017;L-malic acid;2
360;2016-10-01;Site 4 B;952592;610011017;brix;26
361;2016-10-01;Site 4 B;952592;610011017;glucose + fructose;277
362;2016-10-01;Site 4 B;952592;610011017;berry weight;1.06
363;2016-10-01;Site 4 B;952592;610011017;pH;3.56
364;2016-10-01;Site 4 B;952592;610011017;sugar per berry;0.276
365;2016-10-01;Site 4 B;952592;610011017;titratable acidity;5.5
366;2016-09-26;2A Site 2 (Tres Sabores);947887;609260362A;catechin;43
367;2016-09-26;2A Site 2 (Tres Sabores);947887;609260362A;catechin/tannin index;0.129
368;2016-09-26;2A Site 2 (Tres Sabores);947887;609260362A;polymeric anthocyanins;16
369;2016-09-26;2A Site 2 (Tres Sabores);947887;609260362A;polymeric anthocyanins/tannin index;0.048
370;2016-09-26;2A Site 2 (Tres Sabores);947887;609260362A;tannin;334
371;2016-09-26;2A Site 2 (Tres Sabores);947887;609260362A;quercetin glycosides;26
